California,31,https://aguilar.house.gov/,202-225-3201,Pete Aguilar,//upload.wikimedia.org/wikipedia/commons/thumb/3/33/Pete_Aguilar_official_portrait_114th_Congress.jpg/75px-Pete_Aguilar_official_portrait_114th_Congress.jpg,Democratic,,,54,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
California,32,http://napolitano.house.gov/,202-225-5256,Grace Napolitano,//upload.wikimedia.org/wikipedia/commons/thumb/9/95/Rep-Napolitano.jpg/75px-Rep-Napolitano.jpg,Democratic,,,55,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
California,33,https://lieu.house.gov/,202-225-3976,Ted Lieu,//upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Rep_Ted_Lieu.jpg/75px-Rep_Ted_Lieu.jpg,Democratic,,,56,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
California,34,https://becerra.house.gov/,202-225-6235,Xavier Becerra,//upload.wikimedia.org/wikipedia/commons/thumb/6/61/Xavier_Becerra%2C_Official_Portrait.JPG/75px-Xavier_Becerra%2C_Official_Portrait.JPG,Democratic,,,57,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
California,35,https://torres.house.gov/,202-225-6161,Norma Torres,//upload.wikimedia.org/wikipedia/commons/thumb/2/21/Norma_Torres_official_portrait.jpg/75px-Norma_Torres_official_portrait.jpg,Democratic,,,58,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
California,36,https://ruiz.house.gov,202-225-5330,Raul Ruiz,//upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Raul_Ruiz%2C_official_portrait%2C_113th_congress.jpg/75px-Raul_Ruiz%2C_official_portrait%2C_113th_congress.jpg,Democratic,,,59,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
California,37,https://bass.house.gov/,202-225-7084,Karen Bass,//upload.wikimedia.org/wikipedia/commons/thumb/3/34/Karen-Bass-2012.jpg/75px-Karen-Bass-2012.jpg,Democratic,,,60,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
California,39,http://royce.house.gov/,202-225-4111,Ed Royce,//upload.wikimedia.org/wikipedia/commons/thumb/7/74/Edward_Royce%2C_official_photo_portrait_color.jpg/75px-Edward_Royce%2C_official_photo_portrait_color.jpg,Republican,,,62,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
California,40,http://roybal-allard.house.gov,202-225-1766,Lucille Roybal-Allard,//upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Lucille_roybal.jpg/75px-Lucille_roybal.jpg,Democratic,,,63,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
California,41,https://takano.house.gov,202-225-2305,Mark Takano,//upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Mark_Takano_113th_Congress_official_photo.jpg/75px-Mark_Takano_113th_Congress_official_photo.jpg,Democratic,,,64,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
California,43,https://waters.house.gov,202-225-2201,Maxine Waters,//upload.wikimedia.org/wikipedia/commons/thumb/6/60/Maxine_Waters_Official.jpg/75px-Maxine_Waters_Official.jpg,Democratic,,,66,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
California,44,http://hahn.house.gov,202-225-8220,Janice Hahn,//upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Janice_Hahn%2C_official_portrait%2C_112th_Congress.jpg/75px-Janice_Hahn%2C_official_portrait%2C_112th_Congress.jpg,Democratic,,,67,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
California,45,https://walters.house.gov/,202-225-5611,Mimi Walters,//upload.wikimedia.org/wikipedia/commons/thumb/1/16/Mimi_Walters_official_congressional_photo_2.jpg/75px-Mimi_Walters_official_congressional_photo_2.jpg,Republican,,,68,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
California,46,http://lorettasanchez.house.gov/,202-225-2965,Loretta Sanchez,//upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Loretta_Sanchez_official_photo.jpg/75px-Loretta_Sanchez_official_photo.jpg,Democratic,,,69,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
California,47,http://lowenthal.house.gov,202-225-7924,Alan Lowenthal,//upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Alan_Lowenthal_113th_Congress_Portrait.jpeg/75px-Alan_Lowenthal_113th_Congress_Portrait.jpeg,Democratic,,,70,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
California,48,https://rohrabacher.house.gov,202-225-2415,Dana Rohrabacher,//upload.wikimedia.org/wikipedia/commons/thumb/1/18/Dana_Rohrabacher.jpg/75px-Dana_Rohrabacher.jpg,Republican,,,71,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
California,49,https://issa.house.gov,202-225-3906,Darrell Issa,//upload.wikimedia.org/wikipedia/commons/thumb/4/42/Congressman_Darrell_Issa.jpg/75px-Congressman_Darrell_Issa.jpg,Republican,,,72,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
California,50,https://hunter.house.gov/,202-225-5672,Duncan D. Hunter,//upload.wikimedia.org/wikipedia/commons/thumb/0/07/Duncan_D._Hunter%2C_official_photo_portrait%2C_111th_Congress.jpg/75px-Duncan_D._Hunter%2C_official_photo_portrait%2C_111th_Congress.jpg,Republican,,,73,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
California,51,http://vargas.house.gov,202-225-8045,Juan Vargas,//upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Juan_Vargas_official_photo.jpg/75px-Juan_Vargas_official_photo.jpg,Democratic,,,74,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
California,52,http://scottpeters.house.gov,202-225-0508,Scott Peters,//upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Scott_Peter%27s_Official_113th_Congressional_Portrait.jpg/75px-Scott_Peter%27s_Official_113th_Congressional_Portrait.jpg,Democratic,,,75,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
California,53,https://susandavis.house.gov/,202-225-2040,Susan Davis,//upload.wikimedia.org/wikipedia/en/thumb/7/7b/Susan_Davis_Cropped.jpg/75px-Susan_Davis_Cropped.jpg,Democratic,,,76,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
Colorado,1,http://degette.house.gov,202-225-4431,Diana DeGette,//upload.wikimedia.org/wikipedia/commons/thumb/8/85/Diana_DeGette%2C_official_Congressional_photo.JPG/75px-Diana_DeGette%2C_official_Congressional_photo.JPG,Democratic,,,77,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
Colorado,2,http://polis.house.gov/,202-225-2161,Jared Polis,//upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Jared_Polis_Official_2012.jpg/75px-Jared_Polis_Official_2012.jpg,Democratic,,,78,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
Colorado,3,http://tipton.house.gov/,202-225-4761,Scott Tipton,//upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Scott_Tipton%2C_Official_Portrait%2C_112th_Congress.JPG/75px-Scott_Tipton%2C_Official_Portrait%2C_112th_Congress.JPG,Republican,,,79,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
Colorado,4,https://buck.house.gov/,202-225-4676,Ken Buck,//upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Ken_Buck_official_congressional_photo.jpg/75px-Ken_Buck_official_congressional_photo.jpg,Republican,,,80,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
Colorado,5,http://lamborn.house.gov/,202-225-4422,Doug Lamborn,//upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Doug_Lamborn_official_portrait.jpg/75px-Doug_Lamborn_official_portrait.jpg,Republican,,,81,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
Colorado,6,http://coffman.house.gov/,202-225-7882,Mike Coffman,//upload.wikimedia.org/wikipedia/commons/thumb/1/13/Mike_Coffman.jpg/75px-Mike_Coffman.jpg,Republican,,,82,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
